name|canonization_date|pope|birth_year|death_year|group_count|confidence
Paola Elisabetta Cerioli|2004-05-16|John Paul II|1816|1865||OK
Jozef Bilczewski|2005-10-23|Benedict XVI|1860|1923||OK
Gaetano Catanoso|2005-10-23|Benedict XVI|1879|1963||OK
Zygmunt Gorazdowski|2005-10-23|Benedict XVI|1845|1920||OK
Alberto Hurtado|2005-10-23|Benedict XVI|1901|1952||OK
Felix of Nicosia|2005-10-23|Benedict XVI|1715|1787||OK
Theodore Guerin|2006-10-15|Benedict XVI|1798|1856||OK
Rafael Guizar Valencia|2006-10-15|Benedict XVI|1878|1938||OK
Filippo Smaldone|2006-10-15|Benedict XVI|1848|1923||OK
Rose Venerini|2006-10-15|Benedict XVI|1656|1728||OK
Antonio de Sant Ana Galvao|2007-05-11|Benedict XVI|1739|1822||OK
Szymon of Lipnica|2007-06-03|Benedict XVI|1435|1482||OK
Charles of Mount Argus|2007-06-03|Benedict XVI|1821|1893||OK
Marie-Eugenie de Jesus|2007-06-03|Benedict XVI|1817|1898||OK
George Preca|2007-06-03|Benedict XVI|1880|1962||OK
Maria Bernarda Butler|2008-10-12|Benedict XVI|1848|1924||OK
Gaetano Errico|2008-10-12|Benedict XVI|1791|1860||OK
Alphonsa of the Immaculate Conception|2008-10-12|Benedict XVI|1910|1946||OK
Narcisa de Jesus|2008-10-12|Benedict XVI|1832|1869||OK
Nuno Alvares Pereira|2009-04-26|Benedict XVI|1360|1431||OK
Geltrude Comensoli|2009-04-26|Benedict XVI|1847|1903||OK
Arcangelo Tadini|2009-04-26|Benedict XVI|1846|1912||OK
Bernardo Tolomei|2009-04-26|Benedict XVI|1272|1348||OK
Caterina Volpicelli|2009-04-26|Benedict XVI|1839|1894||OK
Rafael Arnaiz Baron|2009-10-11|Benedict XVI|1911|1938||OK
Francisco Coll Guitart|2009-10-11|Benedict XVI|1812|1875||OK
Damien of Molokai|2009-10-11|Benedict XVI|1840|1889||OK
Zygmunt Szczesny Felinski|2009-10-11|Benedict XVI|1822|1895||OK
Jeanne Jugan|2009-10-11|Benedict XVI|1792|1879||OK
Andre Bessette|2010-10-17|Benedict XVI|1845|1937||OK
Candida Maria of Jesus|2010-10-17|Benedict XVI|1845|1912||OK
Mary MacKillop|2010-10-17|Benedict XVI|1842|1909||OK
Giulia Salzano|2010-10-17|Benedict XVI|1846|1929||OK
Stanislaw Kazimierczyk|2010-10-17|Benedict XVI|1433|1489||OK
Camilla Battista da Varano|2010-10-17|Benedict XVI|1458|1524||OK
Guido Maria Conforti|2011-10-23|Benedict XVI|1865|1931||OK
Luigi Guanella|2011-10-23|Benedict XVI|1842|1915||OK
Bonifacia Rodriguez y Castro|2011-10-23|Benedict XVI|1837|1905||OK
Hildegard of Bingen|2012-05-10|Benedict XVI|1098|1179||OK
Jacques Berthieu|2012-10-21|Benedict XVI|1838|1896||OK
Pedro Calungsod|2012-10-21|Benedict XVI|1654|1672||OK
Marianne Cope|2012-10-21|Benedict XVI|1838|1918||OK
Giovanni Battista Piamarta|2012-10-21|Benedict XVI|1841|1913||OK
Carmen Salles y Barangueras|2012-10-21|Benedict XVI|1848|1911||OK
Anna Schaffer|2012-10-21|Benedict XVI|1882|1925||OK
Kateri Tekakwitha|2012-10-21|Benedict XVI|1656|1680||OK
Martyrs of Otranto|2013-05-12|Francis||1480|813|OK
Laura Montoya Upegui|2013-05-12|Francis|1874|1949||OK
Maria Guadalupe Garcia Zavala|2013-05-12|Francis|1878|1963||OK
Angela of Foligno|2013-10-09|Francis|1248|1309||OK
Peter Faber|2013-12-17|Francis|1506|1546||OK
Jose de Anchieta|2014-04-03|Francis|1534|1597||OK
Marie of the Incarnation|2014-04-03|Francis|1599|1672||OK
Francois de Laval|2014-04-03|Francis|1623|1708||OK
John XXIII|2014-04-27|Francis|1881|1963||OK
John Paul II|2014-04-27|Francis|1920|2005||OK
Kuriakose Elias Chavara|2014-11-23|Francis|1805|1871||OK
Nicola Saggio|2014-11-23|Francis|1650|1709||OK
Euphrasia Eluvathingal|2014-11-23|Francis|1877|1952||OK
Giovanni Antonio Farina|2014-11-23|Francis|1803|1888||OK
Ludovico of Casoria|2014-11-23|Francis|1814|1885||OK
Amato Ronconi|2014-11-23|Francis|c1226|1292||OK
Joseph Vaz|2015-01-14|Francis|1651|1711||OK
Emilie de Villeneuve|2015-05-17|Francis|1811|1854||OK
Maria Cristina of the Immaculate Conception|2015-05-17|Francis|1856|1906||OK
Mariam Baouardy|2015-05-17|Francis|1846|1878||OK
Marie-Alphonsine Danil Ghattas|2015-05-17|Francis|1843|1927||OK
Junipero Serra|2015-09-23|Francis|1713|1784||OK
Louis Martin|2015-10-18|Francis|1823|1894||OK
Marie-Azelie Guerin Martin|2015-10-18|Francis|1831|1877||OK
Vincenzo Grossi|2015-10-18|Francis|1845|1917||OK
Maria de la Purisima Salvat Romero|2015-10-18|Francis|1926|1998||OK
Stanislaw Papczynski|2016-06-05|Francis|1631|1701||OK
Maria Elizabeth Hesselblad|2016-06-05|Francis|1870|1957||OK
Teresa of Calcutta|2016-09-04|Francis|1910|1997||OK
Jose Gabriel del Rosario Brochero|2016-10-16|Francis|1840|1914||OK
Jose Sanchez del Rio|2016-10-16|Francis|1913|1928||OK
Manuel Gonzalez Garcia|2016-10-16|Francis|1877|1940||OK
Elizabeth of the Trinity|2016-10-16|Francis|1880|1906||OK
Alfonso Maria Fusco|2016-10-16|Francis|1839|1910||OK
Lodovico Pavoni|2016-10-16|Francis|1784|1849||OK
Solomon Leclercq|2016-10-16|Francis|1745|1792||OK
Francisco Marto|2017-05-13|Francis|1908|1919||OK
Jacinta Marto|2017-05-13|Francis|1910|1920||OK
Manuel Miguez Gonzalez|2017-10-15|Francis|1831|1925||OK
Luca Antonio Falcone|2017-10-15|Francis|1669|1739||OK
Martyrs of Natal|2017-10-15|Francis||1645|30|OK
Child Martyrs of Tlaxcala|2017-10-15|Francis|||3|OK
Paul VI|2018-10-14|Francis|1897|1978||OK
Oscar Romero|2018-10-14|Francis|1917|1980||OK
Francesco Spinelli|2018-10-14|Francis|1853|1913||OK
Vincenzo Romano|2018-10-14|Francis|1751|1831||OK
Maria Katharina Kasper|2018-10-14|Francis|1820|1898||OK
Nazaria Ignacia March Mesa|2018-10-14|Francis|1889|1943||OK
Nunzio Sulprizio|2018-10-14|Francis|1817|1836||OK
Bartholomew of Braga|2019-07-05|Francis|1514|1590||OK
John Henry Newman|2019-10-13|Francis|1801|1890||OK
Giuseppina Vannini|2019-10-13|Francis|1859|1911||OK
Mariam Thresia Chiramel Mankidiyan|2019-10-13|Francis|1876|1926||OK
Dulce Lopes Pontes|2019-10-13|Francis|1914|1992||OK
Marguerite Bays|2019-10-13|Francis|1815|1879||OK
Margherita della Metola|2021-04-24|Francis|c1287|1320||OK
Titus Brandsma|2022-05-15|Francis|1881|1942||OK
Devasahayam Pillai|2022-05-15|Francis|1712|1752||OK
Cesar de Bus|2022-05-15|Francis|1544|1607||OK
Luigi Maria Palazzolo|2022-05-15|Francis|1827|1886||OK
Giustino Russolillo|2022-05-15|Francis|1891|1955||OK
Charles de Foucauld|2022-05-15|Francis|1858|1916||OK
Anne-Marie Rivier|2022-05-15|Francis|1768|1838||OK
Maria Francesca Rubatto|2022-05-15|Francis|1844|1904||OK
Carolina Santocanale|2022-05-15|Francis|1852|1923||OK
Maria Domenica Mantovani|2022-05-15|Francis|1862|1934||OK
Giovanni Battista Scalabrini|2022-10-09|Francis|1839|1905||OK
Artemides Zatti|2022-10-09|Francis|1880|1951||OK
Maria Antonia de Paz y Figueroa|2024-02-11|Francis|1730|1799||OK
Martyrs of Damascus|2024-10-20|Francis||1860|11|OK
Giuseppe Allamano|2024-10-20|Francis|1851|1926||OK
Marie-Leonie Paradis|2024-10-20|Francis|1840|1912||OK
Elena Guerra|2024-10-20|Francis|1835|1914||OK
Martyrs of Compiegne|2024-12-18|Francis||1794|16|OK
Carlo Acutis|2025-09-07|Leo XIV|1991|2006||OK
Pier Giorgio Frassati|2025-09-07|Leo XIV|1901|1925||OK
Jose Gregorio Hernandez Cisneros|2025-10-19|Leo XIV|1864|1919||OK
Maria del Carmen Rendiles Martinez|2025-10-19|Leo XIV|1903|1977||OK
Peter To Rot|2025-10-19|Leo XIV|1912|1945||OK
Ignatius Maloyan|2025-10-19|Leo XIV|1869|1915||OK
Bartolo Longo|2025-10-19|Leo XIV|1841|1926||OK
Vincenza Maria Poloni|2025-10-19|Leo XIV|1802|1855||OK
Maria Troncatti|2025-10-19|Leo XIV|1883|1969||OK
