month_day|name|rank|scope
April 2|Saint Francis of Paola|Optional Memorial|UNIVERSAL
April 4|Saint Isidore|Optional Memorial|UNIVERSAL
April 5|Saint Vincent Ferrer|Optional Memorial|UNIVERSAL
April 7|Saint John Baptist de la Salle|Memorial|UNIVERSAL
April 11|Saint Stanislaus|Memorial|UNIVERSAL
April 13|Saint Martin I|Optional Memorial|UNIVERSAL
April 21|Saint Anselm|Optional Memorial|UNIVERSAL
April 23|Saint George|Optional Memorial|UNIVERSAL
April 23|Saint Adalbert|Optional Memorial|UNIVERSAL
April 24|Saint Fidelis of Sigmaringen|Optional Memorial|UNIVERSAL
April 25|Saint Mark|Feast|UNIVERSAL
April 28|Saint Peter Chanel|Optional Memorial|UNIVERSAL
April 28|Saint Louis Grignion de Montfort|Optional Memorial|UNIVERSAL
April 29|Saint Catherine of Siena|Memorial|UNIVERSAL
April 30|Saint Pius V|Optional Memorial|UNIVERSAL
May 1|Saint Joseph the Worker|Optional Memorial|UNIVERSAL
May 2|Saint Athanasius|Memorial|UNIVERSAL
May 3|Saints Philip and James|Feast|UNIVERSAL
May 10|Saint John of Avila|Optional Memorial|UNIVERSAL
May 10|Saint Damien de Veuster|Optional Memorial|USA
May 12|Saints Nereus and Achilleus|Optional Memorial|UNIVERSAL
May 12|Saint Pancras|Optional Memorial|UNIVERSAL
May 13|Our Lady of Fatima|Optional Memorial|MARIAN
May 14|Saint Matthias|Feast|UNIVERSAL
May 15|Saint Isidore|Optional Memorial|USA
May 18|Saint John I|Optional Memorial|UNIVERSAL
May 20|Saint Bernardine of Siena|Optional Memorial|UNIVERSAL
May 21|Saint Christopher Magallanes and Companions|Optional Memorial|UNIVERSAL
May 22|Saint Rita of Cascia|Optional Memorial|UNIVERSAL
May 25|Saint Bede the Venerable|Optional Memorial|UNIVERSAL
May 25|Saint Gregory VII|Optional Memorial|UNIVERSAL
May 25|Saint Mary Magdalene de Pazzi|Optional Memorial|UNIVERSAL
May 26|Saint Philip Neri|Memorial|UNIVERSAL
May 27|Saint Augustine of Canterbury|Optional Memorial|UNIVERSAL
May 29|Saint Paul VI|Optional Memorial|UNIVERSAL
June 1|Saint Justin|Memorial|UNIVERSAL
June 2|Saints Marcellinus and Peter|Optional Memorial|UNIVERSAL
June 3|Saints Charles Lwanga and Companions|Memorial|UNIVERSAL
June 5|Saint Boniface|Memorial|UNIVERSAL
June 6|Saint Norbert|Optional Memorial|UNIVERSAL
June 9|Saint Ephrem|Optional Memorial|UNIVERSAL
June 11|Saint Barnabas|Memorial|UNIVERSAL
June 13|Saint Anthony of Padua|Memorial|UNIVERSAL
June 19|Saint Romuald|Optional Memorial|UNIVERSAL
June 21|Saint Aloysius Gonzaga|Memorial|UNIVERSAL
June 22|Saint Paulinus of Nola|Optional Memorial|UNIVERSAL
June 22|Saints John Fisher and Thomas More|Optional Memorial|UNIVERSAL
June 24|The Nativity of Saint John the Baptist|Solemnity|UNIVERSAL
June 27|Saint Cyril of Alexandria|Optional Memorial|UNIVERSAL
June 28|Saint Irenaeus|Memorial|UNIVERSAL
June 29|Saints Peter and Paul|Solemnity|UNIVERSAL
June 30|The First Martyrs of the Holy Roman Church|Optional Memorial|UNIVERSAL
July 1|Saint Junipero Serra|Optional Memorial|USA
July 3|Saint Thomas|Feast|UNIVERSAL
July 4|Saint Elizabeth of Portugal|Optional Memorial|UNIVERSAL
July 5|Saint Anthony Zaccaria|Optional Memorial|UNIVERSAL
July 6|Saint Maria Goretti|Optional Memorial|UNIVERSAL
July 9|Saint Augustine Zhao Rong and Companions|Optional Memorial|UNIVERSAL
July 11|Saint Benedict|Memorial|UNIVERSAL
July 13|Saint Henry|Optional Memorial|UNIVERSAL
July 14|Saint Camillus de Lellis|Optional Memorial|UNIVERSAL
July 14|Saint Kateri Tekakwitha|Memorial|USA
July 15|Saint Bonaventure|Memorial|UNIVERSAL
July 16|Our Lady of Mount Carmel|Optional Memorial|MARIAN
July 20|Saint Apollinaris|Optional Memorial|UNIVERSAL
July 21|Saint Lawrence of Brindisi|Optional Memorial|UNIVERSAL
July 22|Saint Mary Magdalene|Feast|UNIVERSAL
July 23|Saint Bridget|Optional Memorial|UNIVERSAL
July 24|Saint Sharbel Makhluf|Optional Memorial|UNIVERSAL
July 25|Saint James|Feast|UNIVERSAL
July 26|Saints Joachim and Anne|Memorial|UNIVERSAL
July 29|Saints Martha, Mary and Lazarus|Memorial|UNIVERSAL
July 30|Saint Peter Chrysologus|Optional Memorial|UNIVERSAL
July 31|Saint Ignatius of Loyola|Memorial|UNIVERSAL
August 1|Saint Alphonsus Liguori|Memorial|UNIVERSAL
August 2|Saint Eusebius of Vercelli|Optional Memorial|UNIVERSAL
August 2|Saint Peter Julian Eymard|Optional Memorial|UNIVERSAL
August 4|Saint Jean Vianney|Memorial|UNIVERSAL
August 7|Saint Sixtus II and Companions|Optional Memorial|UNIVERSAL
August 7|Saint Cajetan|Optional Memorial|UNIVERSAL
August 8|Saint Dominic|Memorial|UNIVERSAL
August 9|Saint Teresa Benedicta of the Cross|Optional Memorial|UNIVERSAL
August 10|Saint Lawrence|Feast|UNIVERSAL
August 11|Saint Clare|Memorial|UNIVERSAL
August 12|Saint Jane Frances de Chantal|Optional Memorial|UNIVERSAL
August 13|Saints Pontian and Hippolytus|Optional Memorial|UNIVERSAL
August 13|Saint Maximus the Confessor|Optional Memorial|UNIVERSAL
August 14|Saint Maximilian Kolbe|Memorial|UNIVERSAL
August 16|Saint Stephen of Hungary|Optional Memorial|UNIVERSAL
August 19|Saint John Eudes|Optional Memorial|UNIVERSAL
August 20|Saint Bernard|Memorial|UNIVERSAL
August 21|Saint Pius X|Memorial|UNIVERSAL
August 23|Saint Rose of Lima|Optional Memorial|UNIVERSAL
August 24|Saint Bartholomew|Feast|UNIVERSAL
August 25|Saint Louis|Optional Memorial|UNIVERSAL
August 25|Saint Joseph Calasanz|Optional Memorial|UNIVERSAL
August 27|Saint Monica|Memorial|UNIVERSAL
August 28|Saint Augustine of Hippo|Memorial|UNIVERSAL
August 29|The Passion of Saint John the Baptist|Memorial|UNIVERSAL
September 3|Saint Gregory the Great|Memorial|UNIVERSAL
September 5|Saint Teresa of Calcutta|Optional Memorial|UNIVERSAL
September 9|Saint Peter Claver|Memorial|USA
September 13|Saint John Chrysostom|Memorial|UNIVERSAL
September 15|Our Lady of Sorrows|Memorial|MARIAN
September 16|Saints Cornelius and Cyprian|Memorial|UNIVERSAL
September 17|Saint Robert Bellarmine|Optional Memorial|UNIVERSAL
September 17|Saint Hildegard of Bingen|Optional Memorial|UNIVERSAL
September 19|Saint Januarius|Optional Memorial|UNIVERSAL
September 20|Saints Andrew Kim Tae-gon, Paul Chong Ha-sang, and Companions|Memorial|UNIVERSAL
September 21|Saint Matthew|Feast|UNIVERSAL
September 23|Saint Pius of Pietrelcina|Memorial|UNIVERSAL
September 26|Saints Cosmas and Damian|Optional Memorial|UNIVERSAL
September 27|Saint Vincent de Paul|Memorial|UNIVERSAL
September 28|Saint Wenceslaus|Optional Memorial|UNIVERSAL
September 28|Saint Lawrence Ruiz and Companions|Optional Memorial|UNIVERSAL
September 30|Saint Jerome|Memorial|UNIVERSAL
October 1|Saint Therese of the Child Jesus|Memorial|UNIVERSAL
October 4|Saint Francis of Assisi|Memorial|UNIVERSAL
October 5|Saint Faustina Kowalska|Optional Memorial|UNIVERSAL
October 5|Blessed Francis Xavier Seelos|Optional Memorial|USA
October 6|Saint Bruno|Optional Memorial|UNIVERSAL
October 6|Blessed Marie Rose Durocher|Optional Memorial|USA
October 7|Our Lady of the Rosary|Memorial|MARIAN
October 9|Saint Denis and Companions|Optional Memorial|UNIVERSAL
October 9|Saint John Leonardi|Optional Memorial|UNIVERSAL
October 9|Saint John Henry Newman|Optional Memorial|UNIVERSAL
October 11|Saint John XXIII|Optional Memorial|UNIVERSAL
October 14|Saint Callistus I|Optional Memorial|UNIVERSAL
October 15|Saint Teresa of Jesus|Memorial|UNIVERSAL
October 16|Saint Hedwig|Optional Memorial|UNIVERSAL
October 16|Saint Margaret Mary Alacoque|Optional Memorial|UNIVERSAL
October 17|Saint Ignatius of Antioch|Memorial|UNIVERSAL
October 18|Saint Luke|Feast|UNIVERSAL
October 19|Saints John de Brebeuf, Isaac Jogues, and Companions|Memorial|USA
October 19|Saint Paul of the Cross|Optional Memorial|UNIVERSAL
October 22|Saint John Paul II|Optional Memorial|UNIVERSAL
October 23|Saint John of Capistrano|Optional Memorial|UNIVERSAL
October 24|Saint Anthony Mary Claret|Optional Memorial|UNIVERSAL
October 28|Saints Simon and Jude|Feast|UNIVERSAL
November 3|Saint Martin de Porres|Optional Memorial|UNIVERSAL
November 4|Saint Charles Borromeo|Memorial|UNIVERSAL
November 10|Saint Leo the Great|Memorial|UNIVERSAL
November 11|Saint Martin of Tours|Memorial|UNIVERSAL
November 12|Saint Josaphat|Memorial|UNIVERSAL
November 13|Saint Frances Xavier Cabrini|Memorial|USA
November 15|Saint Albert the Great|Optional Memorial|UNIVERSAL
November 16|Saint Margaret of Scotland|Optional Memorial|UNIVERSAL
November 16|Saint Gertrude|Optional Memorial|UNIVERSAL
November 17|Saint Elizabeth of Hungary|Memorial|UNIVERSAL
November 18|Saint Rose Philippine Duchesne|Optional Memorial|USA
November 22|Saint Cecilia|Memorial|UNIVERSAL
November 23|Saint Clement I|Optional Memorial|UNIVERSAL
November 23|Saint Columban|Optional Memorial|UNIVERSAL
November 23|Blessed Miguel Agustin Pro|Optional Memorial|USA
November 24|Saint Andrew Dung-Lac and Companions|Memorial|UNIVERSAL
November 25|Saint Catherine of Alexandria|Optional Memorial|UNIVERSAL
November 30|Saint Andrew|Feast|UNIVERSAL
December 3|Saint Francis Xavier|Memorial|UNIVERSAL
December 4|Saint John Damascene|Optional Memorial|UNIVERSAL
December 6|Saint Nicholas|Optional Memorial|UNIVERSAL
December 7|Saint Ambrose|Memorial|UNIVERSAL
December 9|Saint Juan Diego Cuauhtlatoatzin|Optional Memorial|UNIVERSAL
December 10|Our Lady of Loreto|Optional Memorial|MARIAN
December 11|Saint Damasus I|Optional Memorial|UNIVERSAL
December 12|Our Lady of Guadalupe|Feast|MARIAN
December 13|Saint Lucy|Memorial|UNIVERSAL
December 14|Saint John of the Cross|Memorial|UNIVERSAL
December 21|Saint Peter Canisius|Optional Memorial|UNIVERSAL
December 23|Saint John of Kanty|Optional Memorial|UNIVERSAL
December 26|Saint Stephen|Feast|UNIVERSAL
December 27|Saint John|Feast|UNIVERSAL
December 29|Saint Thomas Becket|Optional Memorial|UNIVERSAL
December 31|Saint Sylvester I|Optional Memorial|UNIVERSAL
September 29|Saints Michael, Gabriel and Raphael, Archangels|Feast|UNIVERSAL
January 25|The Conversion of Saint Paul|Feast|UNIVERSAL
February 22|The Chair of Saint Peter|Feast|UNIVERSAL
